entrezid,0,1,2,3,4,5,6,7
7105,723.0,486.0,904.0,445.0,1170.0,1097.0,806.0,604.0
8813,467.0,523.0,616.0,371.0,582.0,781.0,417.0,509.0
57147,347.0,258.0,364.0,237.0,318.0,447.0,330.0,324.0
55732,96.0,81.0,73.0,66.0,118.0,94.0,102.0,74.0
3075,3413.0,3916.0,6000.0,4308.0,6424.0,10723.0,5039.0,7803.0
2519,2328.0,1714.0,2640.0,1381.0,2165.0,2262.0,2175.0,1786.0
2729,670.0,372.0,692.0,448.0,917.0,807.0,744.0,685.0
4800,426.0,295.0,531.0,178.0,740.0,651.0,414.0,269.0
90529,191.0,182.0,287.0,137.0,256.0,234.0,173.0,189.0
57185,2232.0,1969.0,5252.0,2698.0,2699.0,2932.0,2495.0,3206.0
81887,556.0,513.0,619.0,355.0,666.0,770.0,517.0,440.0
22875,74.0,53.0,212.0,160.0,22.0,37.0,134.0,177.0
6405,560.0,372.0,934.0,436.0,706.0,725.0,581.0,641.0
1080,16.0,9.0,14.0,8.0,8.0,7.0,7.0,8.0
54467,1491.0,1204.0,2438.0,1041.0,2838.0,2727.0,1817.0,1747.0
1595,1014.0,807.0,1135.0,689.0,1374.0,1324.0,947.0,763.0
889,694.0,725.0,1052.0,475.0,1137.0,1249.0,861.0,855.0
5893,256.0,202.0,263.0,109.0,308.0,271.0,178.0,112.0
572,760.0,653.0,796.0,431.0,769.0,956.0,615.0,674.0
51056,1460.0,1274.0,1280.0,980.0,1428.0,1770.0,829.0,1003.0
4267,7314.0,7067.0,9639.0,6221.0,11373.0,12979.0,6885.0,7559.0
9957,2.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0
26,1.0,0.0,4.0,2.0,0.0,1.0,0.0,4.0
51384,5.0,5.0,28.0,9.0,2.0,2.0,4.0,3.0
23072,172.0,160.0,104.0,86.0,130.0,115.0,94.0,143.0
8379,391.0,306.0,415.0,185.0,424.0,569.0,311.0,332.0
3927,7577.0,7641.0,9125.0,7305.0,7858.0,14203.0,6996.0,9324.0
29916,230.0,225.0,273.0,207.0,247.0,350.0,200.0,301.0
55365,1296.0,1542.0,594.0,433.0,36.0,28.0,69.0,107.0
4074,1954.0,1665.0,1960.0,1309.0,2096.0,2339.0,1839.0,1763.0
90293,644.0,330.0,590.0,178.0,555.0,308.0,536.0,257.0
56603,140.0,55.0,235.0,75.0,31.0,39.0,191.0,76.0
3382,9.0,4.0,9.0,8.0,8.0,16.0,10.0,12.0
79007,85.0,73.0,221.0,84.0,107.0,116.0,173.0,131.0
57679,900.0,728.0,875.0,514.0,979.0,1595.0,846.0,747.0
843,101.0,71.0,121.0,104.0,97.0,67.0,109.0,74.0
8837,2065.0,3648.0,2340.0,2991.0,2828.0,6903.0,1744.0,4908.0
7035,4665.0,4109.0,6899.0,3253.0,9138.0,6350.0,3913.0,3778.0
55471,306.0,249.0,379.0,203.0,410.0,406.0,258.0,285.0
