SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
723.0,486.0,904.0,445.0,1170.0,1097.0,806.0,604.0
467.0,523.0,616.0,371.0,582.0,781.0,417.0,509.0
347.0,258.0,364.0,237.0,318.0,447.0,330.0,324.0
96.0,81.0,73.0,66.0,118.0,94.0,102.0,74.0
3413.0,3916.0,6000.0,4308.0,6424.0,10723.0,5039.0,7803.0
2328.0,1714.0,2640.0,1381.0,2165.0,2262.0,2175.0,1786.0
670.0,372.0,692.0,448.0,917.0,807.0,744.0,685.0
426.0,295.0,531.0,178.0,740.0,651.0,414.0,269.0
191.0,182.0,287.0,137.0,256.0,234.0,173.0,189.0
2232.0,1969.0,5252.0,2698.0,2699.0,2932.0,2495.0,3206.0
556.0,513.0,619.0,355.0,666.0,770.0,517.0,440.0
74.0,53.0,212.0,160.0,22.0,37.0,134.0,177.0
560.0,372.0,934.0,436.0,706.0,725.0,581.0,641.0
16.0,9.0,14.0,8.0,8.0,7.0,7.0,8.0
1491.0,1204.0,2438.0,1041.0,2838.0,2727.0,1817.0,1747.0
1014.0,807.0,1135.0,689.0,1374.0,1324.0,947.0,763.0
694.0,725.0,1052.0,475.0,1137.0,1249.0,861.0,855.0
256.0,202.0,263.0,109.0,308.0,271.0,178.0,112.0
760.0,653.0,796.0,431.0,769.0,956.0,615.0,674.0
1460.0,1274.0,1280.0,980.0,1428.0,1770.0,829.0,1003.0
7314.0,7067.0,9639.0,6221.0,11373.0,12979.0,6885.0,7559.0
2.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0
1.0,0.0,4.0,2.0,0.0,1.0,0.0,4.0
5.0,5.0,28.0,9.0,2.0,2.0,4.0,3.0
172.0,160.0,104.0,86.0,130.0,115.0,94.0,143.0
391.0,306.0,415.0,185.0,424.0,569.0,311.0,332.0
7577.0,7641.0,9125.0,7305.0,7858.0,14203.0,6996.0,9324.0
230.0,225.0,273.0,207.0,247.0,350.0,200.0,301.0
1296.0,1542.0,594.0,433.0,36.0,28.0,69.0,107.0
1954.0,1665.0,1960.0,1309.0,2096.0,2339.0,1839.0,1763.0
644.0,330.0,590.0,178.0,555.0,308.0,536.0,257.0
140.0,55.0,235.0,75.0,31.0,39.0,191.0,76.0
9.0,4.0,9.0,8.0,8.0,16.0,10.0,12.0
85.0,73.0,221.0,84.0,107.0,116.0,173.0,131.0
900.0,728.0,875.0,514.0,979.0,1595.0,846.0,747.0
101.0,71.0,121.0,104.0,97.0,67.0,109.0,74.0
2065.0,3648.0,2340.0,2991.0,2828.0,6903.0,1744.0,4908.0
4665.0,4109.0,6899.0,3253.0,9138.0,6350.0,3913.0,3778.0
306.0,249.0,379.0,203.0,410.0,406.0,258.0,285.0
3095.0,2413.0,3940.0,1763.0,3701.0,3895.0,2801.0,2827.0
25.0,28.0,34.0,35.0,23.0,50.0,15.0,32.0
61.0,51.0,13.0,3.0,44.0,104.0,17.0,51.0
1589.0,1893.0,1519.0,1136.0,1747.0,2545.0,1396.0,1896.0
311.0,354.0,326.0,168.0,370.0,342.0,357.0,310.0
1501.0,1570.0,1618.0,981.0,1746.0,2298.0,1129.0,1261.0
4107.0,4116.0,3858.0,2064.0,5515.0,5631.0,2670.0,2561.0
1349.0,1098.0,1549.0,733.0,1568.0,2126.0,1040.0,903.0
8.0,8.0,2.0,3.0,8.0,12.0,4.0,2.0
552.0,638.0,727.0,396.0,870.0,910.0,507.0,471.0
1345.0,1018.0,1705.0,788.0,1796.0,1503.0,1195.0,1011.0
1246.0,1002.0,2084.0,930.0,1715.0,1609.0,1209.0,975.0
98.0,58.0,59.0,38.0,87.0,81.0,156.0,66.0
1376.0,1618.0,1714.0,1127.0,1293.0,2202.0,1177.0,1745.0
567.0,383.0,533.0,365.0,638.0,660.0,464.0,438.0
14175.0,12857.0,13950.0,8278.0,11255.0,10302.0,15995.0,12729.0
206.0,106.0,102.0,62.0,78.0,65.0,119.0,89.0
330.0,340.0,486.0,265.0,411.0,566.0,296.0,326.0
82.0,835.0,127.0,1130.0,226.0,479.0,647.0,3273.0
2.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0
19.0,8.0,28.0,8.0,25.0,15.0,20.0,13.0
33.0,9.0,75.0,12.0,9.0,13.0,26.0,7.0
141.0,141.0,104.0,110.0,226.0,248.0,164.0,116.0
522.0,387.0,1077.0,288.0,600.0,588.0,548.0,357.0
1662.0,1367.0,2114.0,1041.0,1980.0,2173.0,1823.0,1628.0
9.0,7.0,12.0,3.0,17.0,12.0,8.0,6.0
444.0,345.0,541.0,289.0,651.0,570.0,361.0,401.0
1330.0,954.0,1146.0,517.0,1330.0,1034.0,993.0,913.0
2288.0,2284.0,2515.0,1544.0,2227.0,3318.0,1992.0,2494.0
881.0,710.0,781.0,499.0,752.0,927.0,704.0,846.0
1581.0,1253.0,1555.0,839.0,1472.0,1664.0,1115.0,1166.0
200.0,206.0,242.0,206.0,194.0,192.0,209.0,245.0
631.0,693.0,719.0,378.0,730.0,966.0,481.0,490.0
440.0,437.0,554.0,357.0,530.0,762.0,402.0,630.0
10.0,12.0,6.0,5.0,8.0,18.0,12.0,30.0
370.0,170.0,370.0,178.0,402.0,442.0,247.0,203.0
334.0,346.0,318.0,119.0,596.0,479.0,350.0,368.0
24.0,26.0,35.0,24.0,33.0,26.0,34.0,12.0
78.0,61.0,89.0,56.0,114.0,64.0,104.0,69.0
438.0,373.0,620.0,314.0,522.0,740.0,324.0,478.0
748.0,656.0,767.0,377.0,747.0,1090.0,583.0,732.0
801.0,634.0,853.0,408.0,991.0,914.0,615.0,621.0
1171.0,949.0,1236.0,746.0,931.0,1001.0,1037.0,900.0
227.0,247.0,279.0,328.0,284.0,385.0,212.0,417.0
441.0,547.0,488.0,338.0,579.0,690.0,381.0,378.0
2660.0,1793.0,3240.0,1690.0,3210.0,4177.0,2479.0,2404.0
213.0,128.0,120.0,134.0,150.0,276.0,157.0,116.0
3.0,30.0,7.0,1.0,0.0,2.0,8.0,3.0
313.0,303.0,292.0,239.0,343.0,411.0,273.0,277.0
241.0,214.0,267.0,158.0,233.0,420.0,171.0,239.0
503.0,396.0,344.0,191.0,629.0,479.0,485.0,437.0
67.0,15.0,61.0,16.0,18.0,17.0,49.0,26.0
1863.0,1563.0,1921.0,1107.0,2491.0,2868.0,1704.0,1957.0
741.0,620.0,1121.0,562.0,1113.0,1476.0,900.0,626.0
10.0,2.0,5.0,0.0,4.0,3.0,3.0,8.0
543.0,431.0,790.0,393.0,657.0,830.0,574.0,558.0
210.0,212.0,298.0,161.0,321.0,281.0,206.0,126.0
3126.0,2627.0,3159.0,2108.0,3415.0,3939.0,2792.0,2203.0
1493.0,1459.0,1472.0,1359.0,1192.0,1920.0,1305.0,1727.0
5.0,0.0,1.0,3.0,9.0,2.0,3.0,3.0
954.0,877.0,1254.0,681.0,1413.0,1243.0,1147.0,1137.0
701.0,795.0,1582.0,1106.0,1392.0,2547.0,1253.0,1343.0
792.0,584.0,766.0,404.0,852.0,1287.0,947.0,990.0
5053.0,4502.0,6271.0,3792.0,5773.0,6753.0,4612.0,5082.0
9.0,13.0,24.0,5.0,11.0,5.0,10.0,7.0
4.0,6.0,4.0,2.0,8.0,7.0,16.0,5.0
2249.0,2181.0,3008.0,2143.0,3340.0,4141.0,1979.0,2357.0
544.0,481.0,416.0,195.0,261.0,363.0,429.0,412.0
154.0,112.0,91.0,82.0,92.0,168.0,269.0,301.0
226.0,178.0,229.0,95.0,202.0,103.0,179.0,83.0
3108.0,2545.0,3486.0,2057.0,3876.0,4817.0,2990.0,3128.0
335.0,294.0,333.0,115.0,415.0,269.0,252.0,129.0
528.0,369.0,604.0,282.0,832.0,569.0,405.0,240.0
7030.0,5372.0,7725.0,5197.0,7765.0,9324.0,5601.0,6910.0
527.0,508.0,612.0,377.0,665.0,873.0,477.0,511.0
9.0,19.0,9.0,6.0,9.0,20.0,18.0,37.0
1765.0,1372.0,1340.0,752.0,1610.0,1767.0,1418.0,1384.0
100.0,46.0,48.0,11.0,124.0,79.0,89.0,24.0
523.0,347.0,708.0,250.0,767.0,1410.0,645.0,435.0
8.0,5.0,12.0,8.0,11.0,8.0,2.0,3.0
1833.0,949.0,1094.0,568.0,1629.0,1135.0,1084.0,812.0
214.0,151.0,260.0,150.0,272.0,268.0,247.0,179.0
381.0,299.0,461.0,266.0,459.0,314.0,444.0,659.0
190.0,109.0,167.0,133.0,136.0,333.0,352.0,281.0
251.0,254.0,292.0,173.0,444.0,440.0,208.0,255.0
885.0,1132.0,1380.0,847.0,1439.0,2533.0,589.0,873.0
9.0,4.0,6.0,2.0,2.0,6.0,7.0,3.0
946.0,718.0,1612.0,711.0,1267.0,1125.0,1419.0,974.0
3.0,3.0,8.0,1.0,8.0,9.0,2.0,2.0
709.0,903.0,971.0,860.0,812.0,1364.0,770.0,1283.0
195.0,186.0,196.0,84.0,254.0,312.0,150.0,119.0
132.0,72.0,104.0,74.0,90.0,82.0,122.0,63.0
76.0,54.0,105.0,46.0,65.0,49.0,72.0,49.0
922.0,788.0,1022.0,597.0,1662.0,1865.0,1135.0,1106.0
1.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0
184.0,140.0,200.0,141.0,220.0,336.0,128.0,160.0
337.0,281.0,380.0,164.0,274.0,283.0,272.0,371.0
985.0,879.0,1550.0,719.0,1562.0,1435.0,1114.0,964.0
2045.0,1560.0,2949.0,1410.0,2865.0,3310.0,2122.0,2087.0
42.0,29.0,33.0,20.0,52.0,63.0,57.0,61.0
836.0,931.0,1008.0,636.0,1253.0,1537.0,629.0,948.0
18.0,29.0,35.0,12.0,18.0,65.0,38.0,20.0
538.0,423.0,591.0,371.0,664.0,653.0,548.0,646.0
161.0,155.0,176.0,105.0,223.0,237.0,168.0,164.0
5.0,37.0,0.0,1.0,5.0,19.0,1.0,22.0
1055.0,1009.0,1170.0,894.0,1174.0,1576.0,901.0,1114.0
72.0,56.0,90.0,80.0,100.0,78.0,76.0,48.0
2.0,4.0,5.0,0.0,3.0,1.0,0.0,2.0
641.0,654.0,925.0,519.0,1247.0,1174.0,754.0,827.0
3.0,2.0,6.0,1.0,3.0,3.0,1.0,2.0
633.0,715.0,707.0,402.0,797.0,1182.0,486.0,601.0
3486.0,3399.0,4955.0,2670.0,4943.0,5940.0,3468.0,3959.0
0.0,2.0,0.0,0.0,2.0,2.0,5.0,1.0
1.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0
6595.0,5389.0,7849.0,4289.0,7838.0,10225.0,5646.0,6351.0
378.0,153.0,304.0,37.0,282.0,180.0,1233.0,793.0
140.0,155.0,124.0,118.0,130.0,178.0,109.0,91.0
3.0,3.0,4.0,1.0,2.0,3.0,3.0,5.0
1.0,2.0,0.0,4.0,5.0,0.0,1.0,2.0
274.0,172.0,282.0,171.0,302.0,534.0,256.0,361.0
29.0,62.0,32.0,11.0,29.0,60.0,65.0,42.0
278.0,265.0,222.0,137.0,341.0,415.0,221.0,265.0
2000.0,1978.0,1951.0,983.0,1940.0,2494.0,1657.0,1957.0
792.0,659.0,766.0,430.0,857.0,865.0,632.0,623.0
21.0,24.0,24.0,29.0,12.0,15.0,18.0,37.0
6.0,6.0,6.0,14.0,25.0,10.0,14.0,7.0
655.0,565.0,632.0,317.0,602.0,947.0,529.0,567.0
710.0,669.0,694.0,361.0,651.0,963.0,528.0,799.0
615.0,679.0,771.0,383.0,663.0,772.0,481.0,719.0
1522.0,2112.0,1701.0,1244.0,1350.0,2288.0,1069.0,1778.0
880.0,885.0,1095.0,611.0,1375.0,1566.0,917.0,797.0
782.0,826.0,2205.0,1633.0,223.0,335.0,277.0,286.0
368.0,247.0,535.0,185.0,520.0,462.0,327.0,253.0
11.0,15.0,7.0,8.0,10.0,22.0,4.0,7.0
4.0,6.0,6.0,3.0,3.0,5.0,3.0,2.0
1674.0,1494.0,1789.0,1115.0,1595.0,1942.0,1329.0,1387.0
7.0,23.0,24.0,15.0,15.0,23.0,13.0,22.0
274.0,260.0,283.0,227.0,300.0,536.0,232.0,391.0
323.0,293.0,585.0,198.0,428.0,582.0,370.0,343.0
2.0,4.0,13.0,2.0,14.0,4.0,10.0,9.0
574.0,559.0,657.0,336.0,345.0,401.0,676.0,903.0
1345.0,2061.0,1441.0,1443.0,1357.0,2352.0,1134.0,2516.0
8.0,3.0,13.0,5.0,6.0,4.0,8.0,18.0
1746.0,3230.0,3066.0,3432.0,2924.0,8788.0,2096.0,5538.0
28.0,19.0,18.0,20.0,15.0,19.0,20.0,12.0
1959.0,1841.0,1966.0,1707.0,1827.0,2637.0,1841.0,2137.0
594.0,538.0,645.0,336.0,565.0,802.0,424.0,442.0
2688.0,2195.0,3950.0,1736.0,3465.0,3951.0,3166.0,3017.0
55.0,76.0,127.0,85.0,104.0,134.0,59.0,141.0
478.0,972.0,549.0,670.0,423.0,979.0,451.0,1095.0
8.0,12.0,7.0,3.0,16.0,21.0,10.0,16.0
112.0,157.0,85.0,106.0,105.0,146.0,113.0,142.0
156.0,124.0,167.0,87.0,198.0,284.0,133.0,182.0
2589.0,2703.0,3127.0,1895.0,8070.0,8505.0,2426.0,2683.0
296.0,308.0,269.0,208.0,288.0,386.0,318.0,237.0
0.0,6.0,1.0,1.0,1.0,1.0,0.0,3.0
14126.0,9551.0,13469.0,6036.0,12014.0,11986.0,12268.0,10604.0
2256.0,1341.0,1760.0,554.0,2489.0,2204.0,1585.0,1155.0
19.0,22.0,31.0,6.0,23.0,49.0,35.0,19.0
179.0,82.0,210.0,63.0,66.0,66.0,195.0,97.0
5059.0,5956.0,5307.0,3517.0,4361.0,7109.0,4276.0,6326.0
15.0,22.0,21.0,13.0,19.0,18.0,18.0,31.0
1320.0,1003.0,1229.0,659.0,1355.0,1726.0,1089.0,1192.0
644.0,727.0,956.0,562.0,837.0,1261.0,736.0,1194.0
796.0,639.0,799.0,505.0,778.0,971.0,585.0,766.0
4233.0,4365.0,5671.0,3341.0,6442.0,8699.0,5176.0,4949.0
13036.0,11874.0,13193.0,7244.0,11543.0,13258.0,9597.0,9408.0
15086.0,12706.0,19963.0,11668.0,20102.0,22009.0,13922.0,15094.0
1932.0,2021.0,2275.0,1634.0,2561.0,3222.0,1760.0,1995.0
5320.0,10463.0,6250.0,7792.0,6761.0,11796.0,5883.0,12104.0
18.0,7.0,2.0,3.0,4.0,1.0,1.0,42.0
40.0,30.0,60.0,24.0,46.0,40.0,46.0,33.0
12.0,30.0,4.0,1.0,1.0,22.0,5.0,13.0
150.0,187.0,173.0,146.0,165.0,211.0,154.0,224.0
3.0,6.0,6.0,3.0,10.0,9.0,3.0,7.0
381.0,460.0,546.0,285.0,431.0,627.0,408.0,382.0
829.0,675.0,1092.0,532.0,1201.0,1272.0,760.0,846.0
10.0,21.0,6.0,2.0,3.0,4.0,4.0,4.0
2827.0,2653.0,3352.0,2041.0,3688.0,3848.0,2866.0,2801.0
1510.0,2278.0,1804.0,2001.0,2124.0,3061.0,1689.0,3084.0
30.0,15.0,22.0,11.0,17.0,12.0,18.0,10.0
194.0,143.0,203.0,105.0,216.0,181.0,183.0,204.0
959.0,950.0,1177.0,688.0,1089.0,1005.0,836.0,710.0
262.0,189.0,326.0,142.0,314.0,349.0,213.0,180.0
2884.0,2599.0,2943.0,1669.0,3710.0,4663.0,1916.0,2208.0
1649.0,1795.0,1587.0,1379.0,1940.0,3151.0,1337.0,2004.0
888.0,800.0,884.0,504.0,964.0,1034.0,602.0,680.0
3133.0,3438.0,3747.0,3527.0,2633.0,5096.0,3486.0,5254.0
1407.0,1139.0,1356.0,827.0,1409.0,1537.0,1106.0,1385.0
1471.0,1280.0,1679.0,865.0,897.0,997.0,1194.0,1296.0
27.0,13.0,30.0,12.0,22.0,21.0,24.0,19.0
61.0,71.0,81.0,71.0,71.0,64.0,85.0,87.0
2581.0,2022.0,3157.0,1472.0,3739.0,3525.0,2585.0,2276.0
273.0,226.0,312.0,170.0,208.0,265.0,205.0,325.0
2447.0,2016.0,3319.0,1999.0,3261.0,4852.0,2668.0,3408.0
7.0,11.0,12.0,6.0,19.0,37.0,35.0,26.0
140.0,128.0,166.0,108.0,183.0,227.0,121.0,113.0
37.0,18.0,97.0,53.0,122.0,131.0,31.0,17.0
151.0,103.0,210.0,111.0,179.0,185.0,159.0,118.0
508.0,302.0,674.0,303.0,503.0,580.0,487.0,466.0
770.0,660.0,858.0,531.0,995.0,1110.0,637.0,729.0
1783.0,1707.0,1607.0,882.0,2566.0,2629.0,1353.0,1541.0
1884.0,1023.0,1633.0,835.0,1992.0,2092.0,1771.0,1286.0
16.0,33.0,70.0,46.0,0.0,22.0,16.0,17.0
1470.0,1365.0,1388.0,954.0,1533.0,1949.0,1096.0,1307.0
451.0,500.0,518.0,265.0,579.0,728.0,399.0,441.0
879.0,666.0,655.0,397.0,719.0,864.0,658.0,721.0
17930.0,13855.0,25972.0,10769.0,17814.0,19903.0,16783.0,15460.0
307.0,195.0,298.0,80.0,274.0,349.0,270.0,160.0
3095.0,2676.0,3524.0,2493.0,3490.0,5306.0,3913.0,4755.0
721.0,462.0,606.0,398.0,686.0,1054.0,528.0,606.0
198.0,220.0,301.0,143.0,258.0,275.0,178.0,224.0
207.0,145.0,226.0,100.0,159.0,182.0,161.0,127.0
586.0,1488.0,820.0,1040.0,1219.0,1886.0,581.0,1656.0
823.0,694.0,963.0,430.0,1072.0,1007.0,685.0,705.0
473.0,282.0,405.0,224.0,464.0,409.0,404.0,361.0
489.0,465.0,369.0,295.0,444.0,553.0,321.0,380.0
1680.0,1455.0,1932.0,1070.0,2206.0,2572.0,1579.0,1668.0
428.0,369.0,466.0,329.0,459.0,567.0,370.0,428.0
3395.0,3914.0,3193.0,2347.0,4152.0,5945.0,2853.0,3929.0
25.0,12.0,18.0,18.0,10.0,48.0,6.0,11.0
174.0,87.0,157.0,69.0,217.0,178.0,269.0,95.0
547.0,454.0,448.0,278.0,436.0,574.0,389.0,366.0
1181.0,1300.0,1462.0,843.0,1906.0,2810.0,1419.0,1963.0
399.0,368.0,489.0,250.0,347.0,541.0,380.0,399.0
265.0,251.0,239.0,138.0,346.0,334.0,276.0,158.0
