,entrezid
0,7105
1,8813
2,57147
3,55732
4,3075
5,2519
6,2729
7,4800
8,90529
9,57185
10,81887
11,22875
12,6405
13,1080
14,54467
15,1595
16,889
17,5893
18,572
19,51056
20,4267
21,9957
22,26
23,51384
24,23072
25,8379
26,3927
27,29916
28,55365
29,4074
30,90293
31,56603
32,3382
33,79007
34,57679
35,843
36,8837
37,7035
38,55471
39,10181
40,9108
41,6542
42,381
43,23098
44,26073
45,23129
46,204
47,952
48,2288
49,23028
50,10180
51,84254
52,5965
53,55610
54,126393
55,115703
56,4706
57,5166
58,85413
59,51364
60,340273
61,10165
62,7982
63,996
64,6521
65,3052
66,1856
67,5976
68,8935
69,292
70,55013
71,5439
72,56919
73,221981
74,3980
75,79657
76,6296
77,81691
78,57019
79,56928
80,80256
81,51226
82,5577
83,10943
84,1387
85,9256
86,4353
87,6936
88,84058
89,54677
90,5244
91,55904
92,57414
93,30812
94,25998
95,7748
96,23077
97,26224
98,3683
99,5164
100,3675
101,7543
102,3920
103,3674
104,51666
105,51573
106,55049
107,9244
108,114881
109,26022
110,9020
111,54972
112,163
113,10127
114,6376
115,64847
116,8913
117,51330
118,4293
119,5898
120,55971
121,80853
122,2115
123,55750
124,221
125,55001
126,57157
127,10344
128,9855
129,79017
130,10926
131,6915
132,3475
133,56891
134,1352
135,9569
136,54623
137,27072
138,9912
139,60528
140,85477
141,414
142,8228
143,8735
144,79602
145,51265
146,151531
147,57787
148,8842
149,115098
150,5048
151,4843
152,1770
153,9703
154,8522
155,79090
156,4145
157,974
158,54879
159,5080
160,113000
161,64285
162,55692
163,9254
164,8938
165,115939
166,9091
167,57585
168,7005
169,55735
170,2328
171,29116
172,27035
173,1870
174,5689
175,6853
176,3720
177,6792
178,57172
179,728642
180,65220
181,9940
182,9265
183,53616
184,6856
185,1534
186,9043
187,1951
188,10157
189,55200
190,51188
191,84954
192,4257
193,1407
194,8993
195,4784
196,6482
197,64386
198,9235
199,5310
200,23542
201,9862
202,23221
203,54497
204,7095
205,6224
206,7812
207,9690
208,5980
209,10178
210,10747
211,389434
212,199870
213,80342
214,29954
215,51534
216,51085
217,9031
218,10048
219,51513
220,83932
221,51603
222,8798
223,7756
224,7384
225,83930
226,928
227,9918
228,25900
229,2696
230,51533
231,11188
232,80199
233,3423
234,5646
235,7752
236,920
237,10233
238,3077
239,22955
240,2534
241,3097
242,2326
243,6924
244,11313
245,1185
246,9902
247,654364
248,10867
249,55727
250,9546
251,54903
252,51099
253,26993
254,54799
255,51096
256,54476
257,54902
258,5725
259,8193
260,9066
261,23395
262,5286
263,5329
264,54443
265,58525
266,23637
267,1634
268,54814
269,5536
270,23177
271,8491
272,27033
273,7305
274,57146
275,2556
276,672
277,2067
278,933
279,7869
280,51360
281,4007
282,4057
283,2137
284,60481
285,8284
286,57658
287,55148
288,11183
289,30845
290,5704
291,23324
292,57709
293,5010
294,51629
295,9961
296,51667
297,5238
298,112611
299,1195
300,55703
301,23357
302,9604
303,1774
304,1663
305,50865
306,9052
307,10046
308,923
309,10460
310,23376
311,23649
312,23144
313,823
314,55
315,4190
316,10463
317,10903
318,1355
319,440193
320,10138
321,10771
322,7454
323,1800
324,637
325,9782
326,29881
327,64132
328,84220
329,81551
330,23386
331,55349
332,53832
333,55830
334,27032
335,3479
336,92745
337,10928
338,22902
339,1272
340,6556
341,25937
342,8540
343,63932
344,477
345,55622
346,147948
347,23584
348,23187
349,1591
350,56981
351,57586
352,6591
353,972
354,3082
355,54764
356,23154
357,25960
358,55734
359,4331
360,23034
361,864
362,4361
363,58473
364,1992
365,64816
366,11136
367,6683
368,9369
369,114879
370,9716
371,1373
372,2273
373,51507
374,55655
375,57210
376,9921
377,55778
378,64429
379,57476
380,6050
381,4719
382,9821
383,23071
384,211
385,330
386,11215
387,51022
388,6617
389,51071
390,11171
391,1244
392,50619
393,51177
394,2730
395,23304
396,30846
397,55635
398,25901
399,58528
400,3298
401,51230
402,8630
403,10062
404,1890
405,29781
406,10953
407,11231
408,23633
409,7431
410,355
411,8635
412,960
413,3755
414,56895
415,57823
416,11119
417,4285
418,5583
419,3459
420,11285
421,7444
422,7133
423,55591
424,5452
425,65980
426,6642
427,9519
428,56938
429,9774
430,55334
431,286
432,51106
433,9135
434,3149
435,23279
436,578
437,4593
438,22807
439,2896
440,51306
441,57514
442,55166
443,6301
444,8498
445,5926
446,7260
447,10908
448,8100
449,56052
450,55596
451,10061
452,54480
453,57554
454,2530
455,55236
456,9846
457,535
458,8554
459,9497
460,321
461,5606
462,79645
463,9168
464,28990
465,25897
466,8504
467,11345
468,4653
469,26751
470,84908
471,7414
472,55789
473,23604
474,8439
475,159
476,7077
477,5981
478,55773
479,8452
480,9172
481,10858
482,26009
483,6570
484,9099
485,27175
486,51121
487,2324
488,54888
489,54455
490,4238
491,84245
492,4234
493,3224
494,175
495,55300
496,259282
497,27430
498,7092
499,23644
500,7204
501,1462
502,23274
503,4481
504,999
505,23517
506,1767
507,9765
508,79567
509,729
510,26064
511,11063
512,11284
513,54831
514,23035
515,54908
516,27067
517,54896
518,1497
519,65078
520,79142
521,1008
522,3631
523,5874
524,5685
525,23026
526,55341
527,10039
528,3371
529,90326
530,140876
531,55775
532,84883
533,56918
534,55812
535,9440
536,54884
537,822
538,1175
539,7399
540,7038
541,10863
542,8538
543,54165
544,23338
545,54802
546,153
547,9820
548,1495
549,5256
550,54875
551,2042
552,3309
553,1829
554,54960
555,8481
556,2824
557,80243
558,22884
559,64848
560,56474
561,51606
562,5431
563,56204
564,116984
565,7175
566,1356
567,23247
568,84062
569,57101
570,57102
571,6322
572,55841
573,395
574,27146
575,4134
576,57120
577,6098
578,57646
579,9734
580,26262
581,51491
582,57545
583,50484
584,168850
585,92017
586,55885
587,55173
588,2978
589,51773
590,55187
591,10659
592,23196
593,23518
594,1298
595,4254
596,1161
597,11174
598,9563
599,9341
600,8863
601,3604
602,55040
603,4052
604,5954
605,2006
606,5982
607,57492
608,81037
609,23327
610,50943
611,89801
612,3074
613,79810
614,51528
615,27122
616,7984
617,9603
618,63933
619,51474
620,25875
621,9498
622,10319
623,5733
624,79931
625,5601
626,9564
627,84067
628,9709
629,9454
630,5888
631,10721
632,5291
633,1535
634,84321
635,23593
636,10198
637,54477
638,80143
639,23223
640,57600
641,6307
642,55761
643,60529
644,23105
645,1112
646,728464
647,8574
648,51154
649,4826
650,55850
651,23101
652,83714
653,3909
654,55745
655,29945
656,27095
657,9967
658,29085
659,954
660,4065
661,51742
662,23596
663,10806
664,5798
665,55733
666,23095
667,2296
668,25771
669,23224
670,57475
671,10079
672,25884
673,23201
674,84957
675,2581
676,51602
677,26099
678,3757
679,8454
680,10827
681,26999
682,23118
683,116254
684,5610
685,57602
686,58508
687,55283
688,114800
689,23369
690,84545
691,3700
692,3697
693,54969
694,51663
695,55609
696,7185
697,54542
698,55540
699,10758
700,8908
701,131566
702,6646
703,5318
704,4438
705,2155
706,2665
707,639
708,9474
709,57458
710,57095
711,57504
712,8975
713,23200
714,3918
715,5218
716,29927
717,4659
718,5923
719,816
720,9696
721,55718
722,493
723,9877
724,55781
725,54432
726,55706
727,1608
728,84256
729,64718
730,6916
731,64761
732,5832
733,6894
734,5188
735,4084
736,5128
737,548645
738,6515
739,5662
740,9150
741,8531
742,55359
743,65125
744,55749
745,11054
746,55650
747,10076
748,9410
749,1301
750,79832
751,51660
752,30
753,586
754,51564
755,11178
756,93166
757,6676
758,10787
759,60488
760,2983
761,6433
762,10188
763,23041
764,1001
765,416
766,65056
767,84649
768,7771
769,1431
770,4058
771,64951
772,63916
773,23063
774,81671
775,10513
776,5424
777,124925
778,1975
779,28968
780,29998
781,56848
782,6141
783,770
784,79763
785,11338
786,29924
787,55588
788,10838
789,8776
790,2817
791,57143
792,3029
793,6047
794,841
795,22998
796,55726
797,51768
798,53340
799,10077
800,8839
801,10402
802,9914
803,4804
804,50937
805,6873
806,28996
807,23534
808,8625
809,54929
810,9170
811,5476
812,10147
813,6558
814,28966
815,2139
816,1265
817,10347
818,9627
819,11218
820,53339
821,55711
822,8537
823,1117
824,22904
825,5378
826,10362
827,10203
828,6882
829,23294
830,8943
831,7629
832,9351
833,4913
834,54887
835,2773
836,3843
837,4942
838,10885
839,5586
840,57418
841,9697
842,9423
843,9340
844,55388
845,1606
846,2065
847,91526
848,3735
849,23536
850,10954
851,55633
852,4710
853,23013
854,4638
855,55854
856,6416
857,55248
858,9748
859,51167
860,1308
861,119391
862,55176
863,7089
864,51665
865,83641
866,4199
867,23216
868,8621
869,10797
870,84679
871,55810
872,4904
873,5141
874,5525
875,1496
876,1994
877,7075
878,57609
879,6602
880,9682
881,4802
882,84217
883,6550
884,25791
885,259266
886,8832
887,64834
888,30834
889,744
890,51208
891,27107
892,4287
893,9950
894,2263
895,55631
896,51015
897,2009
898,60487
899,55623
900,91283
901,26153
902,55102
903,10565
904,348158
905,57623
906,9650
907,10734
908,2235
909,4649
910,8653
911,5214
912,3422
913,6672
914,1316
915,8611
916,4756
917,23471
918,5255
919,7132
920,782
921,7813
922,9399
923,5315
924,54505
925,30836
926,79091
927,7158
928,7216
929,51018
930,387
931,1659
932,5590
933,7544
934,55699
935,6857
936,89795
937,3421
938,79641
939,57595
940,492
941,6093
942,865
943,5165
944,8692
945,9759
946,11186
947,2261
948,3430
949,63897
950,80347
951,79990
952,4205
953,55593
954,7030
955,4943
956,2182
957,3632
958,27238
959,56850
960,24140
961,55771
962,23250
963,25885
964,9741
965,57217
966,51447
967,286749
968,55133
969,3796
970,10235
971,23198
972,57560
973,22933
974,27248
975,5526
976,5837
977,5307
978,375449
979,221395
980,54549
981,55746
982,64710
983,55737
984,10294
985,602
986,8514
